objectid;type;address;polygonid;scale;angle;globalid;geo_shape;geo_point_2d
17;public;201;0;1.0;0.0;{F1FBEE84-45CA-43BE-9274-5CFD88FF2EDA};"{""type"": ""Point"", ""coordinates"": [-79.04975463548752, 35.95791569036911]}";"35.9579156904; -79.0497546355"
20;public;;0;1.0;0.0;{FD67A6A4-4E89-4854-B6D1-6A81A147C749};"{""type"": ""Point"", ""coordinates"": [-79.04585696311314, 35.95626151226958]}";"35.9562615123; -79.0458569631"
85;public;122;0;1.0;0.0;{BAC62A80-7759-4970-A19B-020347B7CA43};"{""type"": ""Point"", ""coordinates"": [-78.9979432566206, 35.940315329080065]}";"35.9403153291; -78.9979432566"
87;public;;0;1.0;0.0;{70C8FE7A-5A28-4997-B8FA-017B7DFA5004};"{""type"": ""Point"", ""coordinates"": [-78.99563755614828, 35.94535006384828]}";"35.9453500638; -78.9956375561"
86;public;;0;1.0;0.0;{F60E5A80-A356-4328-B720-75309365274A};"{""type"": ""Point"", ""coordinates"": [-78.99650550589979, 35.9388840168901]}";"35.9388840169; -78.9965055059"
187;public;1603;0;1.0;0.0;{50831D4D-F34D-4F2B-A8EF-DDBC7174ED8A};"{""type"": ""Point"", ""coordinates"": [-79.01121547937996, 35.932450651048114]}";"35.932450651; -79.0112154794"
193;public;701;0;1.0;0.0;{1752CCDB-6935-486B-A16E-9095938BBD68};"{""type"": ""Point"", ""coordinates"": [-79.01127472860131, 35.92982233597502]}";"35.929822336; -79.0112747286"
179;public;;0;1.0;0.0;{D809C914-3DAF-4F72-94D2-481C4DA2445E};"{""type"": ""Point"", ""coordinates"": [-79.02289116635582, 35.935756019523964]}";"35.9357560195; -79.0228911664"
188;public;;0;1.0;0.0;{423763A2-1F42-4746-9B00-E1A1CDC822C2};"{""type"": ""Point"", ""coordinates"": [-79.02007528817391, 35.930102306457904]}";"35.9301023065; -79.0200752882"
212;public;;0;1.0;0.0;{7A0B7517-4C60-4522-A8DE-326BF0FF4608};"{""type"": ""Point"", ""coordinates"": [-79.00243884798458, 35.91922673617316]}";"35.9192267362; -79.002438848"
218;public;;0;1.0;0.0;{24076797-F2BC-4DA8-9BE1-A8B15EA947AA};"{""type"": ""Point"", ""coordinates"": [-79.06233422260414, 35.91170890202045]}";"35.911708902; -79.0623342226"
170;public;;0;1.0;0.0;{D537ADD1-186D-4246-A01F-219775DFB0DA};"{""type"": ""Point"", ""coordinates"": [-79.0311061210746, 35.931079352772024]}";"35.9310793528; -79.0311061211"
175;public;;0;1.0;0.0;{3F3A89DA-4AA0-4CE7-A93A-9FC1B8B05E07};"{""type"": ""Point"", ""coordinates"": [-79.02537066576943, 35.93250647101763]}";"35.932506471; -79.0253706658"
370;public;;0;1.0;0.0;{E04CDF53-675A-4865-8FE4-FEB90560B44C};"{""type"": ""Point"", ""coordinates"": [-79.02869299863914, 35.957287990207355]}";"35.9572879902; -79.0286929986"
360;private;;0;1.0;0.0;{B13A47A2-37F0-481A-8DD1-9A48E166E6FE};"{""type"": ""Point"", ""coordinates"": [-79.04461645775565, 35.89897820585845]}";"35.8989782059; -79.0446164578"
